Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Frequency ,Recommendation_Helpfulness,Rating_Accuracy ,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,Date,Time,Age_Category,Time_Status
2023-06-05 01:15:33-05:30,22,Female,Less than once a month,Clothing and Fashion,No,Few times a month,,Multiple pages,1,Maybe,Sometimes,Found a better price elsewhere,Sometimes,No,Heavily,Yes,3,Sometimes,3,2,Competitive prices,Shipping speed and reliability,05/06/2023,01:15:33,Young Adult (18-25),Night
2023-06-05 01:18:31-05:30,25,Female,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a week,,Multiple pages,1,Yes,Sometimes,High shipping costs,Sometimes,Yes,Heavily,Yes,3,Yes,3,1,Wide product selection,Product quality and accuracy,05/06/2023,01:18:31,Young Adult (18-25),Night
2023-06-05 01:30:11-05:30,23,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a month,,First page,1,Maybe,Sometimes,Changed my mind or no longer need the item,Rarely,No,Heavily,Sometimes,2,No,3,2,Competitive prices,Product quality and accuracy,05/06/2023,01:30:11,Young Adult (18-25),Night
2023-06-05 01:31:45-05:30,24,Female,Once a month,Clothing and Fashion;Home and Kitchen,No,Few times a month,,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Often,Yes,Moderately,Yes,2,Yes,2,2,Wide product selection,Product quality and accuracy,05/06/2023,01:31:45,Young Adult (18-25),Night
2023-06-05 01:32:28-05:30,21,Female,Less than once a month,Beauty and Personal Care,Yes,Few times a week,,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Always,Yes,Heavily,Yes,5,Sometimes,3,1,User-friendly website/app interface,Reducing packaging waste,05/06/2023,01:32:28,Young Adult (18-25),Night
2023-06-05 01:50:42-05:30,23,Female,Less than once a month,others,No,Rarely,,First page,1,Maybe,Sometimes,High shipping costs,Sometimes,No,Heavily,Yes,3,Sometimes,3,3,User-friendly website/app interface,Shipping speed and reliability,05/06/2023,01:50:42,Young Adult (18-25),Night
2023-06-05 02:09:53-05:30,16,Male,Few times a month,Clothing and Fashion;others,Sometimes,Few times a month,,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Never,No,Heavily,Yes,3,Sometimes,3,2,Wide product selection,Shipping speed and reliability,05/06/2023,02:09:53,Minor (<18),Night
2023-06-05 02:15:45-05:30,21,Female,Less than once a month,Clothing and Fashion,No,Few times a month,,Multiple pages,1,Maybe,Sometimes,others,Never,No,Heavily,Yes,2,Yes,2,1,Wide product selection,Shipping speed and reliability,05/06/2023,02:15:45,Young Adult (18-25),Night
2023-06-05 02:16:02-05:30,23,Female,Few times a month,Beauty and Personal Care;Home and Kitchen,Sometimes,Few times a month,,Multiple pages,1,Yes,Sometimes,High shipping costs,Rarely,No,Moderately,Yes,2,Sometimes,3,2,Wide product selection,Customer service responsiveness,05/06/2023,02:16:02,Young Adult (18-25),Night
2023-06-05 02:18:59-05:30,25,Female,Less than once a month,Beauty and Personal Care,No,Few times a week,,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Rarely,No,Heavily,Yes,4,Sometimes,3,2,Wide product selection,Product quality and accuracy,05/06/2023,02:18:59,Young Adult (18-25),Night
2023-06-05 02:19:49-05:30,64,Male,Once a week,Groceries and Gourmet Food,No,Few times a month,,Multiple pages,3,No,Often,Changed my mind or no longer need the item,Never,No,Occasionally,Yes,2,Yes,1,2,Competitive prices,Reducing packaging waste,05/06/2023,02:19:49,Senior Citizen (>60),Night
2023-06-05 02:22:49-05:30,23,Female,Once a month,Clothing and Fashion,No,Few times a month,,First page,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,Heavily,Yes,3,Sometimes,3,2,User-friendly website/app interface,Customer service responsiveness,05/06/2023,02:22:49,Young Adult (18-25),Night
2023-06-05 02:24:36-05:30,21,Male,Less than once a month,others,No,Few times a week,,Multiple pages,1,Yes,Never,others,Never,No,Never,Sometimes,3,Sometimes,3,3,.,.,05/06/2023,02:24:36,Young Adult (18-25),Night
2023-06-05 02:40:08-05:30,16,Female,Less than once a month,Clothing and Fashion,No,Few times a month,,Multiple pages,2,Yes,Sometimes,Changed my mind or no longer need the item,Often,No,Moderately,Yes,3,Yes,2,2,Wide product selection,Shipping speed and reliability,05/06/2023,02:40:08,Minor (<18),Night
2023-06-05 02:40:51-05:30,23,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion;others,No,Few times a month,,Multiple pages,1,Maybe,Rarely,others,Rarely,Yes,Heavily,Yes,3,Sometimes,1,1,Competitive prices,Customer service responsiveness,05/06/2023,02:40:51,Young Adult (18-25),Night
2023-06-05 02:48:12-05:30,24,Female,Multiple times a week,Groceries and Gourmet Food,Yes,Few times a week,,Multiple pages,1,Maybe,Rarely,Changed my mind or no longer need the item,Sometimes,Yes,Moderately,No,2,No,2,3,User-friendly website/app interface,Product quality and accuracy,05/06/2023,02:48:12,Young Adult (18-25),Night
2023-06-05 02:52:58-05:30,22,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a week,,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Often,No,Heavily,Yes,3,Sometimes,2,2,Wide product selection,Shipping speed and reliability,05/06/2023,02:52:58,Young Adult (18-25),Night
2023-06-05 02:59:59-05:30,23,Female,Less than once a month,Beauty and Personal Care,No,Few times a month,,Multiple pages,4,Yes,Sometimes,Found a better price elsewhere,Rarely,No,Occasionally,Sometimes,3,Yes,3,5,Wide product selection,Reducing packaging waste,05/06/2023,02:59:59,Young Adult (18-25),Night
2023-06-05 03:10:54-05:30,23,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Few times a week,,Multiple pages,1,Yes,Often,others,Often,No,Heavily,Yes,3,Sometimes,2,2,User-friendly website/app interface,Shipping speed and reliability,05/06/2023,03:10:54,Young Adult (18-25),Night
2023-06-05 03:18:15-05:30,24,Female,Less than once a month,Clothing and Fashion,Yes,Few times a month,,Multiple pages,4,Yes,Sometimes,Found a better price elsewhere,Rarely,No,Occasionally,Yes,4,Yes,5,4,Competitive prices,Reducing packaging waste,05/06/2023,03:18:15,Young Adult (18-25),Night
2023-06-05 03:43:28-05:30,25,Female,Few times a month,Groceries and Gourmet Food;Clothing and Fashion;others,No,Few times a week,,Multiple pages,5,Yes,Often,High shipping costs,Never,Yes,Heavily,Yes,2,Sometimes,3,4,Wide product selection,Product quality and accuracy,05/06/2023,03:43:28,Young Adult (18-25),Night
2023-06-05 03:54:47-05:30,23,Female,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a week,,First page,5,Maybe,Often,Changed my mind or no longer need the item,Always,No,Heavily,Yes,4,No,3,4,Competitive prices,Customer service responsiveness,05/06/2023,03:54:47,Young Adult (18-25),Night
2023-06-05 04:07:00-05:30,23,Female,Less than once a month,others,No,Rarely,,First page,3,No,Never,others,Never,No,Occasionally,Sometimes,5,No,3,3,Wide product selection,Product quality and accuracy,05/06/2023,04:07:00,Young Adult (18-25),Night
2023-06-05 04:39:27-05:30,23,Female,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Multiple times a day,,Multiple pages,1,Yes,Often,Found a better price elsewhere,Always,Yes,Heavily,Yes,1,Yes,2,1,Wide product selection,Reducing packaging waste,05/06/2023,04:39:27,Young Adult (18-25),Night
2023-06-05 04:42:15-05:30,23,Male,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Few times a week,,Multiple pages,1,Yes,Often,Found a better price elsewhere,Rarely,Yes,Heavily,Yes,3,Yes,1,1,Competitive prices,Customer service responsiveness,05/06/2023,04:42:15,Young Adult (18-25),Night
2023-06-05 04:54:41-05:30,24,Female,Less than once a month,others,Sometimes,Multiple times a day,,Multiple pages,1,Yes,Rarely,Found a better price elsewhere,Rarely,Yes,Heavily,Yes,3,Sometimes,3,1,Wide product selection,Product quality and accuracy,05/06/2023,04:54:41,Young Adult (18-25),Night
2023-06-05 04:57:53-05:30,24,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Multiple times a day,,First page,4,Yes,Always,Changed my mind or no longer need the item,Often,No,Occasionally,Sometimes,2,Yes,2,1,Wide product selection,Shipping speed and reliability,05/06/2023,04:57:53,Young Adult (18-25),Night
2023-06-05 05:08:30-05:30,23,Female,Less than once a month,Beauty and Personal Care;Home and Kitchen,Sometimes,Rarely,,Multiple pages,1,Maybe,Often,Found a better price elsewhere,Rarely,No,Moderately,Yes,2,Sometimes,2,2,Wide product selection,Reducing packaging waste,05/06/2023,05:08:30,Young Adult (18-25),Night
2023-06-05 05:27:10-05:30,29,Male,Once a month,Clothing and Fashion,Sometimes,Few times a week,,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Often,No,Moderately,Yes,2,Yes,2,2,Competitive prices,Customer service responsiveness,05/06/2023,05:27:10,Adult (26-40),Night
2023-06-05 05:32:56-05:30,19,Female,Few times a month,Clothing and Fashion,Yes,Few times a week,,Multiple pages,5,Yes,Always,Found a better price elsewhere,Rarely,Yes,Rarely,Yes,3,Yes,3,5,Competitive prices,Shipping speed and reliability,05/06/2023,05:32:56,Young Adult (18-25),Night
2023-06-05 05:35:20-05:30,26,Female,Less than once a month,others,Yes,Few times a month,,Multiple pages,1,Yes,Sometimes,High shipping costs,Sometimes,Yes,Moderately,Yes,1,Yes,2,2,Competitive prices,Product quality and accuracy,05/06/2023,05:35:20,Adult (26-40),Night
2023-06-05 06:06:02-05:30,32,Male,Less than once a month,others,No,Rarely,,First page,1,No,Always,Changed my mind or no longer need the item,Never,No,Moderately,Yes,1,No,4,1,Customer service ,Nothing,05/06/2023,06:06:02,Adult (26-40),Morning
2023-06-05 06:07:54-05:30,30,Female,Once a month,Home and Kitchen,No,Few times a month,,Multiple pages,2,Yes,Sometimes,Found a better price elsewhere,Often,Yes,Moderately,Yes,1,No,4,1,User-friendly website/app interface,Reducing packaging waste,05/06/2023,06:07:54,Adult (26-40),Morning
2023-06-05 06:09:14-05:30,22,Female,Less than once a month,Beauty and Personal Care;others,No,Few times a month,,Multiple pages,1,Yes,Rarely,Found a better price elsewhere,Often,No,Moderately,Sometimes,5,Yes,3,2,User-friendly website/app interface,Product quality and accuracy,05/06/2023,06:09:14,Young Adult (18-25),Morning
2023-06-05 06:27:05-05:30,26,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion,Yes,Multiple times a day,,Multiple pages,1,Yes,Sometimes,High shipping costs,Never,Yes,Moderately,No,2,Yes,2,2,User-friendly website/app interface,Shipping speed and reliability,05/06/2023,06:27:05,Adult (26-40),Morning
2023-06-05 08:26:10-05:30,24,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a week,,Multiple pages,1,Yes,Always,High shipping costs,Always,Yes,Heavily,Yes,1,Yes,1,1,Wide product selection,Customer service responsiveness,05/06/2023,08:26:10,Young Adult (18-25),Morning
2023-06-05 09:56:25-05:30,23,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Few times a month,,Multiple pages,5,Yes,Sometimes,High shipping costs,Always,No,Heavily,Yes,4,Yes,4,4,Wide product selection,Product quality and accuracy,05/06/2023,09:56:25,Young Adult (18-25),Morning
2023-06-05 12:46:40-05:30,24,Female,Less than once a month,Clothing and Fashion,Sometimes,Few times a month,,Multiple pages,3,Maybe,Rarely,Changed my mind or no longer need the item,Sometimes,No,Occasionally,Sometimes,3,Sometimes,3,3,Product recommendations,Product quality and accuracy,05/06/2023,12:46:40,Young Adult (18-25),Afternoon
2023-06-05 14:13:26-05:30,23,Female,Few times a month,others,No,Few times a week,,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Always,No,Heavily,Yes,4,Sometimes,3,3,Wide product selection,Product quality and accuracy,05/06/2023,14:13:26,Young Adult (18-25),Afternoon
2023-06-05 14:50:17-05:30,24,Male,Few times a month,Clothing and Fashion,No,Few times a month,,Multiple pages,1,Yes,Always,Changed my mind or no longer need the item,Often,No,Heavily,Yes,1,Yes,1,2,User-friendly website/app interface,Product quality and accuracy,05/06/2023,14:50:17,Young Adult (18-25),Afternoon
2023-06-05 15:26:58-05:30,23,Female,Once a month,Beauty and Personal Care;Home and Kitchen,No,Few times a month,,Multiple pages,1,Yes,Rarely,Changed my mind or no longer need the item,Never,No,Heavily,Yes,5,No,4,3,Competitive prices,Customer service responsiveness,05/06/2023,15:26:58,Young Adult (18-25),Afternoon
2023-06-05 16:06:38-05:30,25,Male,Less than once a month,others,Sometimes,Few times a week,,First page,4,Yes,Often,Changed my mind or no longer need the item,Often,Yes,Heavily,Yes,3,Sometimes,3,3,Wide product selection,Product quality and accuracy,05/06/2023,16:06:38,Young Adult (18-25),Afternoon
2023-06-05 16:07:36-05:30,24,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a month,,Multiple pages,1,Yes,Often,Found a better price elsewhere,Rarely,No,Heavily,Yes,1,Yes,2,2,User-friendly website/app interface,Shipping speed and reliability,05/06/2023,16:07:36,Young Adult (18-25),Afternoon
2023-06-05 16:23:16-05:30,21,Female,Few times a month,Home and Kitchen,No,Few times a month,,First page,1,Yes,Rarely,Changed my mind or no longer need the item,Often,Yes,Heavily,Yes,1,Sometimes,3,1,User-friendly website/app interface,Reducing packaging waste,05/06/2023,16:23:16,Young Adult (18-25),Afternoon
2023-06-05 16:50:41-05:30,23,Female,Less than once a month,Clothing and Fashion,No,Few times a month,,Multiple pages,1,Maybe,Rarely,Changed my mind or no longer need the item,Never,No,Moderately,Yes,3,Sometimes,3,3,Wide product selection,Reducing packaging waste,05/06/2023,16:50:41,Young Adult (18-25),Afternoon
2023-06-05 17:24:52-05:30,26,Female,Less than once a month,Beauty and Personal Care;Home and Kitchen,No,Rarely,,Multiple pages,1,Maybe,Sometimes,High shipping costs,Sometimes,Yes,Heavily,Yes,4,Yes,2,2,Product recommendations,Shipping speed and reliability,05/06/2023,17:24:52,Adult (26-40),Afternoon
2023-06-05 18:40:59-05:30,23,Female,Few times a month,Clothing and Fashion;others,Yes,Few times a week,,First page,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,Yes,Moderately,Yes,1,Sometimes,3,2,Wide product selection,Product quality and accuracy,05/06/2023,18:40:59,Young Adult (18-25),Evening
2023-06-05 18:57:08-05:30,23,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion,Yes,Few times a month,,Multiple pages,4,Yes,Sometimes,High shipping costs,Sometimes,Yes,Heavily,Yes,3,No,3,3,Product recommendations,Reducing packaging waste,05/06/2023,18:57:08,Young Adult (18-25),Evening
2023-06-05 18:58:44-05:30,40,Male,Few times a month,Beauty and Personal Care;Home and Kitchen,No,Few times a week,,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Never,Yes,Heavily,Yes,4,Sometimes,2,1,Competitive prices,Reducing packaging waste,05/06/2023,18:58:44,Adult (26-40),Evening
2023-06-05 19:02:57-05:30,25,Female,Once a month,Beauty and Personal Care,Sometimes,Few times a month,,Multiple pages,5,Maybe,Sometimes,Found a better price elsewhere,Often,No,Moderately,Sometimes,3,Sometimes,3,3,Wide product selection,Customer service responsiveness,05/06/2023,19:02:57,Young Adult (18-25),Evening
2023-06-05 19:05:41-05:30,24,Male,Once a month,others,Sometimes,Few times a week,,Multiple pages,4,Yes,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,Moderately,Sometimes,4,Sometimes,1,2,Wide product selection,Shipping speed and reliability,05/06/2023,19:05:41,Young Adult (18-25),Evening
2023-06-05 19:05:44-05:30,23,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a month,,First page,4,Yes,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,Rarely,Sometimes,3,Sometimes,3,3,User-friendly website/app interface,Product quality and accuracy,05/06/2023,19:05:44,Young Adult (18-25),Evening
2023-06-05 19:07:01-05:30,24,Male,Less than once a month,others,Sometimes,Few times a month,,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Never,Yes,Heavily,Yes,2,Yes,3,2,User-friendly website/app interface,Shipping speed and reliability,05/06/2023,19:07:01,Young Adult (18-25),Evening
2023-06-05 19:13:00-05:30,24,Male,Less than once a month,others,No,Few times a week,,Multiple pages,1,Maybe,Never,Changed my mind or no longer need the item,Rarely,No,Heavily,Yes,3,Sometimes,3,3,Wide product selection,Product quality and accuracy,05/06/2023,19:13:00,Young Adult (18-25),Evening
2023-06-05 19:15:30-05:30,24,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a month,,First page,3,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,No,Occasionally,Sometimes,3,Yes,3,3,Product recommendations,Customer service responsiveness,05/06/2023,19:15:30,Young Adult (18-25),Evening
2023-06-05 19:24:28-05:30,26,Male,Few times a month,others,No,Few times a week,,Multiple pages,4,Yes,Often,Changed my mind or no longer need the item,Rarely,Yes,Occasionally,Yes,3,Yes,3,4,Competitive prices,Product quality and accuracy,05/06/2023,19:24:28,Adult (26-40),Evening
2023-06-05 19:40:33-05:30,23,Female,Few times a month,Beauty and Personal Care;Home and Kitchen;others,Sometimes,Few times a month,,First page,1,Yes,Sometimes,Found a better price elsewhere,Often,No,Heavily,Yes,2,Sometimes,3,3,Wide product selection,Product quality and accuracy,05/06/2023,19:40:33,Young Adult (18-25),Evening
2023-06-05 19:46:16-05:30,23,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a week,,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,Never,No,Heavily,Yes,3,Sometimes,3,1,Wide product selection,Product quality and accuracy,05/06/2023,19:46:16,Young Adult (18-25),Evening
2023-06-05 19:47:45-05:30,24,Female,Once a month,others,Sometimes,Few times a week,,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,Yes,Occasionally,Yes,3,Yes,3,2,User-friendly website/app interface,Product quality and accuracy,05/06/2023,19:47:45,Young Adult (18-25),Evening
2023-06-05 19:51:37-05:30,23,Male,Less than once a month,others,No,Few times a month,,First page,1,Maybe,Rarely,High shipping costs,Never,No,Moderately,Sometimes,3,Sometimes,3,3,Wide product selection,better app interface and lower shipping charges,05/06/2023,19:51:37,Young Adult (18-25),Evening
2023-06-05 19:54:22-05:30,24,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,Yes,Few times a month,,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Often,Yes,Moderately,Yes,1,Yes,2,2,Competitive prices,Product quality and accuracy,05/06/2023,19:54:22,Young Adult (18-25),Evening
2023-06-05 19:55:28-05:30,36,Female,Once a month,Home and Kitchen;others,Sometimes,Multiple times a day,,Multiple pages,5,Yes,Often,Changed my mind or no longer need the item,Never,Yes,Heavily,No,2,Sometimes,3,1,User-friendly website/app interface,Shipping speed and reliability,05/06/2023,19:55:28,Adult (26-40),Evening
2023-06-05 19:58:10-05:30,26,Male,Less than once a month,Home and Kitchen,No,Rarely,,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,Yes,Moderately,Yes,1,Yes,2,1,Wide product selection,Product quality and accuracy,05/06/2023,19:58:10,Adult (26-40),Evening
2023-06-05 20:16:25-05:30,31,Male,Once a month,Home and Kitchen;others,No,Few times a month,,First page,1,Yes,Sometimes,Changed my mind or no longer need the item,Often,No,Heavily,Yes,4,Sometimes,3,1,Customer service,Reducing packaging waste,05/06/2023,20:16:25,Adult (26-40),Evening
2023-06-05 20:58:01-05:30,23,Male,Less than once a month,others,No,Rarely,,Multiple pages,1,Maybe,Often,Found a better price elsewhere,Never,No,Heavily,Yes,2,No,3,2,User-friendly website/app interface,Reducing packaging waste,05/06/2023,20:58:01,Young Adult (18-25),Evening
2023-06-05 22:16:52-05:30,23,Female,Less than once a month,Home and Kitchen,Yes,Few times a month,,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,Rarely,No,Heavily,Yes,3,Yes,2,2,Wide product selection,Product quality and accuracy,05/06/2023,22:16:52,Young Adult (18-25),Night
2023-06-05 22:19:43-05:30,30,Male,Once a week,Groceries and Gourmet Food;Home and Kitchen,Yes,Few times a week,,Multiple pages,4,Yes,Often,Found a better price elsewhere,Always,Yes,Moderately,Yes,4,Yes,4,4,Product recommendations,Customer service responsiveness,05/06/2023,22:19:43,Adult (26-40),Night
2023-06-05 22:20:33-05:30,24,Female,Less than once a month,others,No,Rarely,,Multiple pages,2,Yes,Sometimes,Found a better price elsewhere,Often,No,Moderately,Yes,2,Sometimes,2,2,Wide product selection,Product quality and accuracy,05/06/2023,22:20:33,Young Adult (18-25),Night
2023-06-05 22:20:44-05:30,47,Prefer not to say,Less than once a month,others,Sometimes,Rarely,,First page,2,Maybe,Never,Changed my mind or no longer need the item,Never,No,Never,Sometimes,2,No,2,2,User-friendly website/app interface,Shipping speed and reliability,05/06/2023,22:20:44,Middle-Aged Adult (41-60),Night
2023-06-05 22:22:12-05:30,54,Others,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Multiple times a day,,Multiple pages,4,Yes,Always,others,Always,Yes,Heavily,Yes,5,Yes,5,5,Competitive prices,Shipping speed and reliability,05/06/2023,22:22:12,Middle-Aged Adult (41-60),Night
2023-06-06 00:19:25-05:30,58,Male,Once a month,Clothing and Fashion;others,No,Few times a week,,Multiple pages,5,Yes,Sometimes,Changed my mind or no longer need the item,Never,No,Never,No,4,No,3,3,Competitive prices,Reducing packaging waste,06/06/2023,00:19:25,Middle-Aged Adult (41-60),Night
2023-06-06 00:34:21-05:30,53,Female,Less than once a month,Home and Kitchen,No,Few times a week,,Multiple pages,3,No,Rarely,Changed my mind or no longer need the item,Never,No,Moderately,Yes,2,Yes,2,1,Competitive prices,Reducing packaging waste,06/06/2023,00:34:21,Middle-Aged Adult (41-60),Night
2023-06-06 01:36:04-05:30,23,Prefer not to say,Once a week,Beauty and Personal Care,No,Multiple times a day,,Multiple pages,5,Maybe,Sometimes,Found a better price elsewhere,Sometimes,Yes,Occasionally,Sometimes,3,Sometimes,3,3,Product recommendations,Reducing packaging waste,06/06/2023,01:36:04,Young Adult (18-25),Night
2023-06-06 01:37:52-05:30,25,Others,Few times a month,Groceries and Gourmet Food;Clothing and Fashion,Yes,Few times a week,,Multiple pages,5,Maybe,Never,Changed my mind or no longer need the item,Sometimes,Yes,Occasionally,Sometimes,4,Sometimes,3,3,Product recommendations,Customer service responsiveness,06/06/2023,01:37:52,Young Adult (18-25),Night
2023-06-06 02:14:09-05:30,23,Female,Less than once a month,Beauty and Personal Care,No,Rarely,,Multiple pages,1,Maybe,Rarely,Found a better price elsewhere,Rarely,No,Occasionally,Yes,2,Sometimes,3,2,User-friendly website/app interface,Shipping speed and reliability,06/06/2023,02:14:09,Young Adult (18-25),Night
2023-06-06 02:16:09-05:30,32,Male,Less than once a month,Clothing and Fashion;Home and Kitchen,Sometimes,Few times a week,,First page,4,Maybe,Rarely,Changed my mind or no longer need the item,Rarely,No,Moderately,Sometimes,4,Sometimes,4,4,User-friendly website/app interface,Customer service responsiveness,06/06/2023,02:16:09,Adult (26-40),Night
2023-06-06 02:17:42-05:30,30,Prefer not to say,Few times a month,Beauty and Personal Care;Clothing and Fashion,Yes,Few times a week,,Multiple pages,5,Yes,Often,others,Always,Yes,Heavily,Yes,5,Sometimes,5,3,Competitive prices,Product quality and accuracy,06/06/2023,02:17:42,Adult (26-40),Night
2023-06-06 02:19:12-05:30,28,Others,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Few times a month,,Multiple pages,3,No,Never,High shipping costs,Never,Yes,Occasionally,No,4,No,4,3,Competitive prices,Shipping speed and reliability,06/06/2023,02:19:12,Adult (26-40),Night
